Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,*Blastocatellaceae*,0.06,0,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,SBR1031,*A4b*,0.04,0,0.01,0.01,0,0.01
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Crocinitomicaceae*,0.06,0,0,0,0,0
Bacteria,Planctomycetota,Pla3_lineage,Pla3_lineage,*Pla3_lineage*,0.06,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,mle1-8,*mle1-8*,0.05,0.01,0,0,0,0
Bacteria,Myxococcota,Polyangia,Blfdi19,*Blfdi19*,0.05,0,0,0,0,0.01
Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,*Arctic95B-14*,0.05,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,*Caedibacteraceae*,0.04,0.01,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,t0.6.f,*t0.6.f*,0.03,0,0,0,0.01,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Neisseriaceae*,0.04,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,GIF3,*GIF3*,0.05,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,*Xanthomonadaceae*,0.01,0,0,0.02,0.01,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,*Piscirickettsiaceae*,0.04,0,0.01,0,0,0
Bacteria,FCPU426,FCPU426,FCPU426,*FCPU426*,0.04,0.01,0,0,0,0
Bacteria,WPS-2,WPS-2,WPS-2,*WPS-2*,0.04,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,Polyangiales,*Sandaracinaceae*,0.05,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Paceibacterales,*Paceibacteraceae*,0.03,0.01,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Cytophagaceae*,0.04,0,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*NS9_marine_group*,0.04,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,UBA9983,*UBA9983*,0.03,0.01,0,0,0,0
